Bairro;Casos-M;Casos-F;Obitos-M;Obitos-F;Casos;Obitos;Data
Camarazinho;0;0;0;0;0;0;10/09/2020
Centro;1;4;0;0;5;0;10/09/2020
Cidade Alta;5;5;2;0;10;2;10/09/2020
Cidade Baixa;0;0;0;0;0;0;10/09/2020
Curaxi;5;12;0;0;17;0;10/09/2020
Curintanfa;0;1;0;0;1;0;10/09/2020
Nova Olinda;1;0;1;0;1;1;10/09/2020
Nova Uniao;1;2;0;0;3;0;10/09/2020
Pajuçara;10;11;0;1;21;1;10/09/2020
Papagaio;0;1;0;0;1;0;10/09/2020
Planalto;8;14;1;0;22;1;10/09/2020
Portelinha;0;0;0;0;0;0;10/09/2020
Serra Ocidental;5;8;0;1;13;1;10/09/2020
Serra Oriental;1;0;0;0;1;0;10/09/2020
Surubeju;0;0;0;0;0;0;10/09/2020
Terra Amarela;9;9;0;0;18;0;10/09/2020
Turu;2;1;0;0;3;0;10/09/2020
