Data;Casos;Obitos;Recuperados;TaxaDiaria;Ativos;Media;Media_Ativos;semana;Mês
12/05/2020;10;0;0;0;10;;;20;5
14/05/2020;13;1;0;3;12;;;20;5
15/05/2020;18;1;0;5;17;;;20;5
17/05/2020;18;2;0;0;16;;;21;5
18/05/2020;23;2;0;5;21;;;21;5
19/05/2020;29;2;0;6;27;;;21;5
20/05/2020;33;2;0;4;31;3,285714286;19,14285714;21;5
21/05/2020;40;2;0;7;38;4,285714286;23,14285714;21;5
22/05/2020;42;2;0;2;40;4,142857143;27,14285714;21;5
23/05/2020;42;2;0;0;40;3,428571429;30,42857143;21;5
25/05/2020;51;3;0;9;48;4,714285714;35;22;5
26/05/2020;58;3;0;7;55;5;39,85714286;22;5
27/05/2020;64;3;0;6;61;5;44,71428571;22;5
28/05/2020;71;3;0;7;68;5,428571429;50;22;5
29/05/2020;80;3;0;9;77;5,714285714;55,57142857;22;5
30/05/2020;80;3;20;0;57;5,428571429;58;22;5
01/06/2020;98;4;22;18;72;8;62,57142857;23;6
02/06/2020;107;4;25;9;78;8;66,85714286;23;6
03/06/2020;115;5;25;8;85;8,142857143;71,14285714;23;6
04/06/2020;120;5;25;5;90;8;75,28571429;23;6
05/06/2020;129;5;25;9;99;8,285714286;79,71428571;23;6
06/06/2020;142;5;25;13;112;8,857142857;84,71428571;23;6
07/06/2020;160;6;32;18;122;11,42857143;94;24;6
08/06/2020;177;6;32;17;139;11,28571429;103,5714286;24;6
09/06/2020;186;7;32;9;147;11,28571429;113,4285714;24;6
10/06/2020;201;7;32;15;162;12,28571429;124,4285714;24;6
11/06/2020;203;7;81;2;115;11,85714286;128;24;6
12/06/2020;223;9;81;20;133;13,42857143;132,8571429;24;6
13/06/2020;223;9;112;0;102;11,57142857;131,4285714;24;6
14/06/2020;249;9;137;26;103;12,71428571;128,7142857;25;6
15/06/2020;266;10;137;17;119;12,71428571;125,8571429;25;6
16/06/2020;286;12;137;20;137;14,28571429;124,4285714;25;6
17/06/2020;302;14;145;16;143;14,42857143;121,7142857;25;6
18/06/2020;313;16;156;11;141;15,71428571;125,4285714;25;6
19/06/2020;339;16;156;26;167;16,57142857;130,2857143;25;6
20/06/2020;341;17;156;2;168;16,85714286;139,7142857;25;6
21/06/2020;351;18;156;10;177;14,57142857;150,2857143;26;6
22/06/2020;386;19;172;35;195;17,14285714;161,1428571;26;6
23/06/2020;411;21;185;25;205;17,85714286;170,8571429;26;6
24/06/2020;444;22;185;33;237;20,28571429;184,2857143;26;6
25/06/2020;450;22;213;6;215;19,57142857;194,8571429;26;6
26/06/2020;479;23;230;29;226;20;203,2857143;26;6
27/06/2020;487;24;238;8;225;20,85714286;211,4285714;26;6
28/06/2020;492;24;250;5;218;20,14285714;217,2857143;27;6
29/06/2020;540;24;271;48;245;22;224,4285714;27;6
30/06/2020;560;24;303;20;233;21,28571429;228,4285714;27;6
01/07/2020;586;24;340;26;222;20,28571429;226,2857143;27;7
02/07/2020;610;24;355;24;231;22,85714286;228,5714286;27;7
03/07/2020;635;25;355;25;255;22,28571429;232,7142857;27;7
04/07/2020;641;25;381;6;235;22;234,1428571;27;7
05/07/2020;645;25;381;4;239;21,85714286;237,1428571;28;7
06/07/2020;670;25;413;25;232;18,57142857;235,2857143;28;7
07/07/2020;703;26;413;33;264;20,42857143;239,7142857;28;7
08/07/2020;733;27;440;30;266;21;246;28;7
09/07/2020;760;29;504;27;227;21,42857143;245,4285714;28;7
10/07/2020;792;31;536;32;225;22,42857143;241,1428571;28;7
11/07/2020;805;31;536;13;238;23,42857143;241,5714286;28;7
12/07/2020;818;34;557;13;227;24,71428571;239,8571429;29;7
13/07/2020;881;34;557;63;290;30,14285714;248,1428571;29;7
14/07/2020;912;34;632;31;246;29,85714286;245,5714286;29;7
15/07/2020;948;35;632;36;281;30,71428571;247,7142857;29;7
16/07/2020;966;36;768;18;162;29,42857143;238,4285714;29;7
17/07/2020;989;37;768;23;184;28,14285714;232,5714286;29;7
18/07/2020;1006;38;768;17;200;28,71428571;227,1428571;29;7
19/07/2020;1009;38;802;3;169;27,28571429;218,8571429;30;7
20/07/2020;1032;39;843;23;150;21,57142857;198,8571429;30;7
21/07/2020;1052;39;869;20;144;20;184,2857143;30;7
22/07/2020;1066;39;891;14;136;16,85714286;163,5714286;30;7
23/07/2020;1091;39;891;25;161;17,85714286;163,4285714;30;7
24/07/2020;1105;41;920;14;144;16,57142857;157,7142857;30;7
25/07/2020;1122;42;920;17;160;16,57142857;152;30;7
26/07/2020;1127;42;920;5;165;16,85714286;151,4285714;31;7
27/07/2020;1141;43;942;14;156;15,57142857;152,2857143;31;7
28/07/2020;1147;43;947;6;157;13,57142857;154,1428571;31;7
29/07/2020;1162;43;947;15;172;13,71428571;159,2857143;31;7
30/07/2020;1169;43;983;7;143;11,14285714;156,7142857;31;7
31/07/2020;1181;43;1000;12;138;10,85714286;155,8571429;31;7
01/08/2020;1182;45;1000;1;137;8,571428571;152,5714286;31;8
02/08/2020;1183;45;1000;1;138;8;148,7142857;32;8
03/08/2020;1192;45;1030;9;117;7,285714286;143,1428571;32;8
04/08/2020;1204;46;1047;12;111;8,142857143;136,5714286;32;8
05/08/2020;1213;46;1067;9;100;7,285714286;126,2857143;32;8
06/08/2020;1217;46;1080;4;91;6,857142857;118,8571429;32;8
07/08/2020;1223;46;1101;6;76;6;110;32;8
08/08/2020;1224;46;1101;1;77;6;101,4285714;32;8
09/08/2020;1224;46;1101;0;77;5,857142857;92,71428571;33;8
10/08/2020;1230;46;1108;6;76;5,428571429;86,85714286;33;8
11/08/2020;1233;46;1123;3;64;4,142857143;80,14285714;33;8
12/08/2020;1242;46;1135;9;61;4,142857143;74,57142857;33;8
13/08/2020;1254;47;1135;12;72;5,285714286;71,85714286;33;8
14/08/2020;1262;47;1144;8;71;5,571428571;71,14285714;33;8
15/08/2020;1292;47;1144;30;101;9,714285714;74,57142857;33;8
16/08/2020;1305;47;1144;13;114;11,57142857;79,85714286;34;8
17/08/2020;1316;47;1153;11;116;12,28571429;85,57142857;34;8
18/08/2020;1320;47;1160;4;113;12,42857143;92,57142857;34;8
19/08/2020;1322;47;1160;2;115;11,42857143;100,2857143;34;8
20/08/2020;1325;47;1185;3;93;10,14285714;103,2857143;34;8
21/08/2020;1328;47;1198;3;83;9,428571429;105;34;8
22/08/2020;1336;48;1198;8;90;6,285714286;103,4285714;34;8
23/08/2020;1337;49;1198;1;90;4,571428571;100;35;8
24/08/2020;1341;49;1207;4;85;3,571428571;95,57142857;35;8
25/08/2020;1347;49;1230;6;68;3,857142857;89,14285714;35;8
26/08/2020;1353;49;1242;6;62;4,428571429;81,57142857;35;8
27/08/2020;1354;50;1242;1;62;4,142857143;77,14285714;35;8
28/08/2020;1358;50;1250;4;58;4,285714286;73,57142857;35;8
29/08/2020;1359;50;1250;1;59;3,285714286;69,14285714;35;8
30/08/2020;1363;50;1250;4;63;3,714285714;65,28571429;36;8
31/08/2020;1364;51;1273;1;40;3,285714286;58,85714286;36;8
01/09/2020;1366;52;1278;2;36;2,714285714;54,28571429;36;9
02/09/2020;1368;53;1294;2;21;2,142857143;48,42857143;36;9
03/09/2020;1377;53;1294;9;30;3,285714286;43,85714286;36;9
04/09/2020;1381;53;1294;4;34;3,285714286;40,42857143;36;9
05/09/2020;1382;53;1302;1;27;3,285714286;35,85714286;36;9
06/09/2020;1382;53;1302;0;27;2,714285714;30,71428571;37;9
07/09/2020;1382;53;1302;0;27;2,571428571;28,85714286;37;9
08/09/2020;1390;54;1311;8;25;3,428571429;27,28571429;37;9
09/09/2020;1398;54;1311;8;33;4,285714286;29;37;9
10/09/2020;1404;55;1319;6;30;3,857142857;29;37;9
11/09/2020;1405;56;1322;1;27;3,428571429;28;37;9
12/09/2020;1405;56;1322;0;27;3,285714286;28;37;9
13/09/2020;1409;56;1322;4;31;3,857142857;28,57142857;38;9
14/09/2020;1409;58;1332;0;19;3,857142857;27,42857143;38;9
15/09/2020;1412;58;1332;3;22;3,142857143;27;38;9
16/09/2020;1415;58;1338;3;19;2,428571429;25;38;9
17/09/2020;1423;58;1340;8;25;2,714285714;24,28571429;38;9
18/09/2020;1429;58;1345;6;26;3,428571429;24,14285714;38;9
19/09/2020;1429;58;1345;0;26;3,428571429;24;38;9
20/09/2020;1436;58;1345;7;33;3,857142857;24,28571429;39;9
21/09/2020;1443;58;1345;7;40;4,857142857;27,28571429;39;9
22/09/2020;1448;58;1345;5;45;5,142857143;30,57142857;39;9
23/09/2020;1453;58;1352;5;43;5,428571429;34;39;9
24/09/2020;1465;59;1352;12;54;6;38,14285714;39;9
25/09/2020;1473;59;1362;8;52;6,285714286;41,85714286;39;9
26/09/2020;1473;60;1362;0;51;6,285714286;45,42857143;39;9
27/09/2020;1475;60;1362;2;53;5,571428571;48,28571429;40;9
28/09/2020;1481;60;1362;6;59;5,428571429;51;40;9
29/09/2020;1488;60;1394;7;34;5,714285714;49,42857143;40;9
30/09/2020;1493;60;1401;5;32;5,714285714;47,85714286;40;9
01/10/2020;1502;60;1401;9;41;5,285714286;46;40;10
02/10/2020;1504;60;1423;2;21;4,428571429;41,57142857;40;10
03/10/2020;1504;60;1423;0;21;4,428571429;37,28571429;40;10
04/10/2020;1506;60;1423;2;23;4,428571429;33;41;10
05/10/2020;1508;60;1426;2;22;3,857142857;27,71428571;41;10
06/10/2020;1515;60;1426;7;29;3,857142857;27;41;10
07/10/2020;1522;60;1434;7;28;4,142857143;26,42857143;41;10
08/10/2020;1529;60;1434;7;35;3,857142857;25,57142857;41;10
